,Year,County,Households,Poverty Households,ALICE Households
148,2012,Lincoln,4610,545,1106
149,2014,Lincoln,4445,563,997
150,2016,Lincoln,4337,609,866
151,2018,Lincoln,4485,540,1000
152,2019,Lincoln,4525,517,910
153,2021,Lincoln,4440,464,1191
154,2010,Mason,22444,3494,5445
155,2012,Mason,23565,3403,6432
156,2014,Mason,23099,3115,6544
157,2016,Mason,22454,3002,6589
158,2018,Mason,23535,2946,6625
159,2019,Mason,24278,2903,6675
160,2021,Mason,25085,2943,7104
161,2010,Okanogan,15348,2819,3992
162,2012,Okanogan,16415,3350,3701
163,2014,Okanogan,16401,3309,4573
164,2016,Okanogan,16804,3457,4459
165,2018,Okanogan,17527,3235,4310
166,2019,Okanogan,17675,3053,4126
167,2021,Okanogan,16630,2662,4743
168,2010,Pacific,9440,1818,1736
169,2012,Pacific,9358,1506,2481
170,2014,Pacific,9143,1437,2714
171,2016,Pacific,8986,1498,3487
172,2018,Pacific,9087,1613,2692
173,2019,Pacific,9279,1559,3236
174,2021,Pacific,9878,1341,4421
175,2010,Pend Oreille,5511,1050,1267
176,2012,Pend Oreille,5434,1148,1353
177,2014,Pend Oreille,5532,1118,1301
178,2016,Pend Oreille,5409,991,1417
179,2018,Pend Oreille,5782,836,1455
180,2019,Pend Oreille,5727,711,1572
181,2021,Pend Oreille,5653,600,1649
182,2010,Pierce,299876,31158,68328
183,2012,Pierce,300554,33523,72879
184,2014,Pierce,302388,36524,69819
185,2016,Pierce,317671,34593,77827
186,2018,Pierce,328519,25326,74278
187,2019,Pierce,333657,28263,65166
188,2021,Pierce,347668,28736,78719
189,2010,San Juan,7986,849,1500
190,2012,San Juan,7963,867,1818
191,2014,San Juan,7611,802,1898
192,2016,San Juan,7623,736,2192
193,2018,San Juan,8025,903,1927
194,2019,San Juan,8252,861,1988
195,2021,San Juan,8378,964,2056
196,2010,Skagit,44856,4219,10192
197,2012,Skagit,44671,5078,12849
198,2014,Skagit,45447,7032,11607
199,2016,Skagit,46423,4838,10769
200,2018,Skagit,48474,4285,11136
201,2019,Skagit,49043,4447,10998
202,2021,Skagit,51971,5945,14941
203,2010,Skamania,4514,503,1038
204,2012,Skamania,4378,634,840
205,2014,Skamania,4433,703,1072
206,2016,Skamania,4577,736,1252
207,2018,Skamania,4685,637,1308
208,2019,Skamania,4816,611,1237
209,2021,Skamania,4723,482,1290
210,2010,Snohomish,266080,24599,54829
211,2012,Snohomish,270568,24389,59097
212,2014,Snohomish,278683,24583,63327
213,2016,Snohomish,286116,22591,78258
214,2018,Snohomish,300215,21892,70490
215,2019,Snohomish,299827,20968,75037
216,2021,Snohomish,312365,21653,87297
217,2010,Spokane,187672,27134,39856
218,2012,Spokane,189004,30284,37015
219,2014,Spokane,187603,28180,46040
220,2016,Spokane,195807,25124,45718
221,2018,Spokane,206191,26956,44881
222,2019,Spokane,211723,27066,39742
223,2021,Spokane,217920,26003,52305
224,2010,Stevens,17518,2553,4426
225,2012,Stevens,17858,3023,3996
226,2014,Stevens,17626,2836,4358
227,2016,Stevens,17442,2827,4620
228,2018,Stevens,17433,2830,3986
229,2019,Stevens,17554,2682,4611
230,2021,Stevens,18222,2349,5248
231,2010,Thurston,99869,9915,17934
232,2012,Thurston,102335,11506,20346
233,2014,Thurston,103319,11733,22487
234,2016,Thurston,105863,11599,23546
235,2018,Thurston,110713,8590,22486
236,2019,Thurston,112909,9775,23289
237,2021,Thurston,117186,12208,26224
238,2010,Wahkiakum,1763,188,361
239,2012,Wahkiakum,1699,265,368
240,2014,Wahkiakum,1716,302,363
241,2016,Wahkiakum,1789,216,455
242,2018,Wahkiakum,1844,141,460
243,2019,Wahkiakum,1897,169,509
244,2021,Wahkiakum,1891,264,564
245,2010,Walla Walla,21473,3145,5043
246,2012,Walla Walla,21572,3540,6231
247,2014,Walla Walla,21698,3367,6140
248,2016,Walla Walla,21851,3346,7114
249,2018,Walla Walla,22304,3091,6332
250,2019,Walla Walla,22646,3189,6164
251,2021,Walla Walla,22842,2902,6913
252,2010,Whatcom,80288,11455,16848
253,2012,Whatcom,79029,12653,17956
254,2014,Whatcom,81973,12768,16788
255,2016,Whatcom,84011,14211,17290
256,2018,Whatcom,87080,13188,18679
257,2019,Whatcom,88794,11763,17732
258,2021,Whatcom,92219,11478,25217
259,2010,Whitman,15565,4313,3542
260,2012,Whitman,16865,5313,3916
261,2014,Whitman,17174,5394,3712
262,2016,Whitman,17185,4758,4577
263,2018,Whitman,17910,4829,4417
264,2019,Whitman,17999,4675,4555
265,2021,Whitman,18010,5012,4745
266,2010,Yakima,79875,15370,22031
267,2012,Yakima,78472,15456,21663
268,2014,Yakima,79700,14271,22649
269,2016,Yakima,81084,12279,25681
270,2018,Yakima,83320,12963,24844
271,2019,Yakima,83992,12400,23232
272,2021,Yakima,86992,11391,28309
